Address; Price; Seller
5237 Live Oak View Ave, Los Angeles, CA 90041; $1,899,000
22605 Mulholland Dr, Woodland Hills, CA 91364; $1,550,000
1110 Lanark St, Los Angeles, CA 90041; $899,000
2945 W 11th St, Los Angeles, CA 90006; $799,000
6442 Vineland Ave APT 12, North Hollywood, CA 91606; $699,999
7306 Balboa Blvd UNIT B, Van Nuys, CA 91406; $579,000
11690 Montana Ave APT 303, Los Angeles, CA 90049; $1,795,000
12449 Kling St UNIT 102, Studio City, CA 91604; $875,000
1345 Casiano Rd, Los Angeles, CA 90049; $2,885,000
